accession_id	phenotype_value
PN12_SID1091	3
PN12_SID1092	2
PN12_SID1093	1
PN12_SID1094	5.33333333333333
PN12_SID1095	2.33333333333333
PN12_SID1096	2.33333333333333
PN12_SID1137	4
PN12_SID1138	4
PN12_SID1139	3.66666666666667
PN12_SID1140	2.66666666666667
PN12_SID1141	2.66666666666667
PN12_SID1142	3
PN12_SID1143	2
PN12_SID1144	2
PN12_SID1145	2
PN12_SID1146	2
PN12_SID1147	3
PN12_SID1148	1.33333333333333
PN12_SID1109	2
PN12_SID1110	3.66666666666667
PN12_SID1111	5
PN12_SID1112	2.5
PN12_SID1113	2.5
PN12_SID1114	3
PN12_SID1115	3
PN12_SID1116	3.33333333333333
PN12_SID1117	2
PN12_SID1118	2
PN12_SID1119	2
PN13_SID1190	3
PN13_SID1191	2.66666666666667
PN13_SID1192	2.66666666666667
PN13_SID1193	2.33333333333333
PN13_SID1194	2.66666666666667
PN13_SID1195	2.66666666666667
PN13_SID1196	4.33333333333333
PN13_SID1197	2.33333333333333
PN12_SID1097	2.33333333333333
PN12_SID1098	5.33333333333333
PN12_SID1099	2
PN12_SID1100	2
PN12_SID1101	2.33333333333333
PN12_SID1102	2
PN12_SID1103	3.33333333333333
PN12_SID1104	3.33333333333333
PN12_SID1105	2.33333333333333
PN12_SID1106	4.66666666666667
PN12_SID1107	2.33333333333333
PN12_SID1108	2.33333333333333
PN11_SID1054	3.66666666666667
PN11_SID1055	3
PN11_SID1056	3.33333333333333
PN12_SID1062	2.66666666666667
PN12_SID1063	3.33333333333333
PN12_SID1064	2.5
PN11_SID993	3.33333333333333
PN11_SID994	2.66666666666667
PN11_SID995	2.33333333333333
PN11_SID996	3.5
PN11_SID997	4.5
PN11_SID998	2.66666666666667
PN11_SID999	2.66666666666667
PN11_SID1005	2.5
PN11_SID1006	2
PN16_SID1481	2.33333333333333
PN16_SID1482	2.33333333333333
PN16_SID1484	2
PN16_SID1485	4
PN16_SID1487	2.5
PN11_SID1028	1.33333333333333
PN11_SID1029	2
PN11_SID1030	2
PN11_SID1031	2.5
PN11_SID1032	2.66666666666667
PN11_SID1033	2.33333333333333
PN11_SID1034	2.33333333333333
PN11_SID1035	2
PN11_SID1036	2.5
PN11_SID1037	3
PN11_SID1038	2
PN11_SID1039	2.5
PN11_SID1040	2
PN11_SID1041	2.66666666666667
PN15_SID1363	2
PN11_SID1042	1.66666666666667
PN11_SID1043	1.66666666666667
PN11_SID1044	3
PN11_SID1045	3.33333333333333
PN11_SID1046	2
PN11_SID1047	1
PN11_SID1048	2.33333333333333
PN11_SID1049	3.33333333333333
PN11_SID1050	3.66666666666667
PN11_SID1051	3.33333333333333
PN11_SID1052	2.66666666666667
PN11_SID1053	2.5
PN11_SID1021	2
PN11_SID1023	3.66666666666667
PN11_SID1024	4.33333333333333
PN11_SID1025	4.66666666666667
PN11_SID1026	1.66666666666667
PN11_SID1027	3.33333333333333
PN16_SID1488	3.33333333333333
PN16_SID1489	2.5
PN16_SID1490	3
PN16_SID1491	3
PN16_SID1492	4
PN16_SID1493	2
PN16_SID1494	3
PN16_SID1495	2.66666666666667
PN16_SID1496	NA
PN16_SID1497	1
PN12_SID1120	2.66666666666667
PN12_SID1121	3
PN12_SID1122	2
PN12_SID1123	2
PN12_SID1124	3.5
PN13_SID1176	3
PN13_SID1177	1.66666666666667
PN13_SID1178	3.66666666666667
PN13_SID1179	3.66666666666667
PN13_SID1180	2
PN13_SID1181	3.33333333333333
PN13_SID1182	2
PN13_SID1183	2.33333333333333
PN13_SID1184	2
PN13_SID1185	3
PN13_SID1186	2.33333333333333
PN13_SID1187	2
PN13_SID1188	1.66666666666667
PN13_SID1189	2.66666666666667
PN12_SID1125	2.66666666666667
PN12_SID1126	4.33333333333333
PN12_SID1127	2.5
PN12_SID1128	2
PN12_SID1129	2
PN12_SID1130	4
PN12_SID1131	2.33333333333333
PN12_SID1132	3.66666666666667
PN12_SID1133	5
PN12_SID1134	3.66666666666667
PN12_SID1135	2
PN12_SID1136	3
PN12_SID1065	5.33333333333333
PN12_SID1067	5.33333333333333
PN12_SID1069	3.66666666666667
PN12_SID1070	4
PN12_SID1071	1.33333333333333
PN12_SID1072	2.33333333333333
PN12_SID1073	5.66666666666667
PN12_SID1074	2
PN12_SID1075	3
PN12_SID1076	2
PN12_SID1077	3
PN12_SID1078	4.5
PN10_SID883	3.66666666666667
PN10_SID884	1.66666666666667
PN10_SID885	2.5
PN10_SID886	2
PN10_SID887	5
PN10_SID888	3
PN10_SID889	3
PN10_SID890	2
PN10_SID891	1.5
PN10_SID892	2
PN10_SID894	2
PN10_SID895	4
PN10_SID896	3
PN10_SID876	1.66666666666667
PN10_SID877	2.66666666666667
PN10_SID878	4.66666666666667
