Female_genotype,Species,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,Species,SPAD2_Date,Leaf_Auringle,ST,StPu,StPi,Kinki,Prolif,NBR,LI_COR,LI_COR_Date,SCiO,SCiO_Date
B73,B73,6/28/23,6/27/23,190,60,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JACV-T-018_P2_P1_P3_P1.1.1.1,Mesa,6/28/23,6/28/23,165,50,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,2,NA,NA,NA,NA,NA
Chal-JSG-JMHC-637_P1_P1_P3_P1.1.1.1,Chal,6/28/23,6/27/23,197,63,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Mesa-JSG-Y-RMM-450_P2_P1_P2_P1.3.1.1,Mesa,6/30/23,6/29/23,174,68,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-LCL-JGRF-586_P1_P2_P4_P1.2.1.1,Mesa,7/5/23,7/2/23,198,45,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
B73,B73,7/2/23,6/30/23,194,77,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P5_P1.1.1.1,Nabo,6/29/23,6/29/23,208,90,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-708_P3_P1_P2_P2.2.1.1,Dura,6/30/23,6/28/23,188,83,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
B73,B73,7/1/23,6/29/23,183,72,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-524_P2_P1_P3_P2.1.1.1,Bals,6/27/23,6/27/23,156,37,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P3_P1_P2_P5.1.1.1,Zdip,6/27/23,6/29/23,191,55,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JLNCM-649_P4_P1_P5_P1.1.1.1,Bals,7/2/23,7/1/23,200,80,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-JSG-467_P2_P1_P2_P2.1.1.1,Bals,6/30/23,7/1/23,210,85,5,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,3,NA,NA,NA,NA,NA
Bals-JACV-T-082_P2_P1_P4_P2.1.1.1,Bals,7/2/23,7/1/23,217,107,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P3_P1_P3_P1.3.1.1,Nabo,6/27/23,6/27/23,240,90,5,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,2,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P2_P1.4.1.1,Nabo,6/27/23,6/25/23,192,55,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P3_P2.2.1.1,Nabo,6/27/23,7/1/23,157,52,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,2,1,NA,NA,NA,NA,NA
Mesa-JACV-T-018_P2_P1_P4_P1.3.1.1,Mesa,6/27/23,6/28/23,211,100,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Mesa-CIM11365_P4_P2_P3_P1.2.1.1,Mesa,7/6/23,7/6/23,215,93,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P5_P1.4.1.1,Zdip,7/1/23,6/29/23,176,55,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zlux-G3_P3_P1_P4_P3.4.1.1,Zlux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P4_P3.2.1.1,Zdip,7/6/23,7/6/23,138,15,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P2_P1_P5_P1.4.1.1,Zdip,7/22/23,7/22/23,143,15,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,3,NA,NA,NA,NA,NA
Mesa-JSG-LCL-689_P2_P1_P5_P1.1.1.1,Mesa,7/1/23,7/1/23,168,63,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,2,2,NA,NA,NA,NA,NA
B73,B73,6/29/23,6/29/23,174,47,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-Y-RMM-438_P1_P1_P2_P1.1.1.1,Mesa,6/26/23,6/26/23,202,70,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,2,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-483_P3_P1_P3_P1.2.1.1,Bals,6/29/23,7/1/23,207,83,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,2,NA,NA,NA,NA,NA
Chal-JSG-RMM-LCL-476_P2_P1_P2_P1.2.1.1,Chal,6/26/23,6/26/23,195,80,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,1,NA,NA,NA,NA,NA
Chal-JSG-JMHC-626_P4_P1_P2_P1.1.1.1,Chal,6/29/23,6/28/23,210,94,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,2,NA,NA,NA,NA,NA
Chal-CIM11362_P2_P1_P4_P1.1.1.1,Chal,7/14/23,7/16/23,213,57,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-720_P1_P1_P1_P2.2.1.1,Zdip,7/4/23,7/2/23,195,88,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P2_P1_P4_P1.4.1.1,Zdip,7/1/23,6/29/23,176,57,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-JSG-LCL-676_P3_P1_P3_P1.2.1.1,Bals,7/1/23,6/29/23,190,70,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Bals-JSG-LCL-676_P3_P1_P4_P1.2.1.1,Bals,7/3/23,7/2/23,210,80,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,2,2,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P2_P1_P3_P1.4.1.1,Nabo,6/29/23,6/29/23,180,65,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Mesa-JSG-Y-LOS-75_P1_P1_P3_P1.2.1.1,Mesa,7/1/23,7/2/23,167,56,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P3_P1_P2_P5.3.1.1,Zdip,6/29/23,6/28/23,186,65,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
B73,B73,7/1/23,6/29/23,190,66,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-Y-LOS-142_P1_P1_P4_P1.2.1.1,Bals,7/1/23,7/1/23,202,62,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P1_P2.4.1.1,Zdip,6/27/23,6/27/23,170,56,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,2,NA,NA,NA,NA,NA
Bals-JSG-Y-RMM-457_P3_P1_P2_P1.2.1.1,Bals,6/25/23,6/25/23,195,67,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
B73,B73,6/29/23,6/29/23,186,65,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P2_P1_P3_P1.3.1.1,Zdip,7/1/23,6/30/23,225,80,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-705_P4_P1_P3_P5.3.1.1,Dura,6/27/23,6/28/23,173,55,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,2,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-720_P1_P1_P4_P2.3.1.1,Zdip,7/3/23,7/3/23,180,44,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P5_P2.1.1.1,Zdip,7/4/23,7/3/23,157,43,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Zlux-FAC--P-87_P1_P1_P5_P1.1.1.1,Zlux,7/20/23,7/20/23,131,28,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-708_P3_P1_P2_P1.2.1.1,Dura,7/6/23,7/5/23,112,22,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,2,3,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P2_P1_P3_P2.4.1.1,Nabo,7/5/23,7/2/23,177,27,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P2_P1.1.1.1,Nabo,7/17/23,7/8/23,146,20,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P3_P1_P5_P4.2.1.1,Nabo,6/25/23,6/22/23,177,50,5,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-517_P2_P1_P5_P1.2.1.1,Bals,7/1/23,6/29/23,160,57,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P5_P2.4.1.1,Nabo,7/2/23,6/30/23,190,75,6,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,2,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P3_P1_P5_P1.3.1.1,Nabo,7/3/23,7/1/23,188,85,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P3_P1_P3_P1.2.1.1,Nabo,7/4/23,6/27/23,201,65,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P2_P1_P4_P1.2.1.1,Zdip,7/1/23,7/1/23,156,47,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P2_P1.2.1.1,Nabo,7/1/23,7/1/23,160,56,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-517_P2_P1_P2_P1.1.1.1,Bals,7/4/23,7/2/23,190,75,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
B73,B73,7/2/23,6/29/23,182,73,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Chal-JSG-LCL-559_P2_P1_P4_P1.1.1.1,Chal,7/4/23,7/4/23,187,75,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P3_P1_P3_P1.3.1.1,Zdip,7/2/23,7/2/23,185,66,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P3_P1_P3_P2.1.1.1,Nabo,7/2/23,6/28/23,164,60,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
B73,B73,7/1/23,6/27/23,163,60,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Bals-JSG-Y-LOS-142_P2_P1_P3_P1.1.1.1,Bals,7/5/23,7/2/23,171,60,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-RMM-11_P2_P1_P4_P2.1.1.1,Bals,7/4/23,7/4/23,200,87,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Hueh-H2_P4_P1_P5_P2.3.1.1,Hueh,6/29/23,6/28/23,190,73,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P2_P1_P3_P2.4.1.1,Zdip,6/28/23,6/27/23,172,55,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-JACV-T-082_P2_P1_P2_P1.1.1.1,Bals,6/28/23,6/27/23,200,75,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P2_P1_P2_P1.3.1.1,Zdip,6/29/23,6/27/23,187,55,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,2,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P3_P1.1.1.1,Nabo,6/28/23,6/27/23,180,65,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-708_P3_P1_P4_P5.2.1.1,Dura,7/1/23,7/1/23,171,70,6,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,2,NA,NA,NA,NA,NA
Bals-JACV-T-049_P2_P1_P2_P1.1.1.1,Bals,7/1/23,7/1/23,165,40,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P1_P3.2.1.1,Nabo,7/7/23,7/9/23,190,70,6,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,2,2,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P1_P2.5.1.1,Zdip,7/13/23,7/12/23,153,31,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
B73,B73,6/29/23,6/28/23,191,65,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P3_P1_P4_P1.3.1.1,Zdip,7/1/23,6/30/23,176,67,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Hueh-H2_P4_P1_P4_P1.3.1.1,Hueh,7/1/23,6/28/23,215,75,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,2,NA,NA,NA,NA,NA
Zlux-FAC--P-87_P1_P1_P1_P1.1.1.1,Zlux,7/5/23,7/4/23,171,70,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zlux-G6_P4_P1_P3_P1.1.1.1,Zlux,7/9/23,7/5/23,202,90,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-Y-RMM-429_P2_P1_P5_P2.1.1.1,Dura,6/25/23,6/25/23,165,55,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-720_P1_P1_P5_P2.1.1.1,Zdip,6/30/23,6/28/23,177,53,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-720_P1_P1_P5_P1.2.1.1,Zdip,7/4/23,7/1/23,160,44,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,2,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P1_P2.1.1.1,Zdip,7/1/23,7/1/23,175,63,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-Y-RMM-429_P2_P1_P2_P2.1.1.1,Dura,6/30/23,6/28/23,189,45,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,2,NA,NA,NA,NA,NA
Zlux-G7_P2_P1_P4_P1.3.1.1,Zlux,7/1/23,6/28/23,176,68,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P2_P1_P2_P2.5.1.1,Zdip,7/1/23,6/28/23,150,38,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P2_P1.3.1.1,Nabo,6/29/23,6/29/23,160,50,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-558_P3_P1_P3_P1.1.1.1,Bals,7/1/23,6/28/23,220,85,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Zlux-G6_P4_P1_P4_P1.2.1.1,Zlux,7/5/23,7/2/23,210,63,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-474_P2_P1_P3_P2.2.1.1,Bals,6/29/23,6/28/23,172,50,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P2_P1_P1_P1.1.1.1,Nabo,6/27/23,6/27/23,177,176,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Purple Check,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zdip-JLVTKV-720_P1_P1_P5_P3.2.1.1,Zdip,6/28/23,6/27/23,170,75,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Hueh-H2_P4_P1_P5_P2.1.1.1,Hueh,7/4/23,7/4/23,195,78,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Hueh-H2_P4_P1_P4_P2.1.1.1,Hueh,7/1/23,7/1/23,171,58,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JLHNM-661_P2_P2_P2_P2.2.1.1,Bals,6/26/23,6/26/23,160,60,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-546_P3_P1_P3_P1.1.1.1,Bals,7/4/23,7/1/23,190,57,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Chal-JSG-JMHC-637_P1_P1_P2_P1.1.1.1,Chal,7/1/23,7/1/23,217,88,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P2_P1_P3_P2.1.1.1,Zdip,7/13/23,7/13/23,253,88,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P2_P4.2.1.1,Nabo,7/3/23,7/4/23,140,57,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-JSG-LCL-674_P3_P1_P5_P1.2.1.1,Bals,7/4/23,7/3/23,165,53,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
B73,B73,7/4/23,7/1/23,172,50,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P4_P4.1.1.1,Zdip,7/1/23,6/29/23,156,40,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-705_P4_P1_P3_P2.3.1.1,Dura,7/4/23,7/2/23,210,93,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-558_P3_P1_P1_P1.2.1.1,Bals,7/3/23,6/30/23,172,70,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-539_P3_P1_P3_P2.1.1.1,Bals,6/26/23,6/26/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P2_P1.2.1.1,Zdip,6/28/23,6/27/23,187,55,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-465_P1_P1_P1_P1.3.1.1,Mesa,7/6/23,7/6/23,212,80,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-539_P3_P1_P2_P2.1.1.1,Bals,7/4/23,7/2/23,230,96,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zlux-G3_P3_P1_P4_P2.2.1.1,Zlux,7/4/23,7/2/23,230,85,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zlux-G3_P3_P1_P2_P1.1.1.1,Zlux,7/2/23,6/30/23,180,70,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P4_P2.4.1.1,Zdip,7/3/23,7/2/23,176,56,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Bals-JSG-RMM-LCL-524_P2_P1_P1_P1.2.1.1,Bals,6/30/23,6/27/23,160,55,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P4_P4.4.1.1,Zdip,6/27/23,6/27/23,188,51,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-JLNCM-649_P4_P1_P4_P1.1.1.1,Bals,6/29/23,7/2/23,255,125,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Mesa-JSG-Y-LOS-75_P1_P1_P3_P1.3.1.1,Mesa,7/1/23,6/29/23,166,42,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,1,NA,NA,NA,NA,NA
Chal-JSG-LCL-559_P2_P1_P4_P2.1.1.1,Chal,6/30/23,7/1/23,220,104,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,0,1,NA,NA,NA,NA,NA
Zdip-CIM10003_P3_P1_P3_P3.4.1.1,Zdip,6/28/23,6/28/23,190,72,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P2_P1_P1_P1.5.1.1,Nabo,6/29/23,6/27/23,180,62,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-Y-RMM-429_P4_P1_P3_P3.1.1.1,Dura,6/29/23,6/27/23,187,75,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Chal-CIM27215 (CIM-1)_P2_P3_P1_P2.3.1.1,Chal,6/25/23,6/26/23,210,88,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-606_P2_P1_P1_P1.2.1.1,Nabo,6/28/23,6/28/23,215,73,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,1,1,NA,NA,NA,NA,NA
Chal-JSG-JMHC-626_P4_P1_P1_P1.2.1.1,Chal,7/5/23,7/3/23,170,50,1,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Dura-JSG-SRV-EAM-708_P3_P1_P1_P2.2.1.1,Dura,7/1/23,6/29/23,215,105,5,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Mesa-JSG-RMM-LCL-536_P1_P1_P3_P1.2.1.1,Mesa,7/2/23,7/1/23,177,60,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-RMM-11_P2_P1_P5_P1.2.1.1,Bals,7/2/23,7/2/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,2,1,NA,NA,NA,NA,NA
Zdip-JSG-RMM-LCL-551_P2_P1_P4_P1.3.1.1,Zdip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hueh-H2_P4_P1_P5_P2.2.1.1,Hueh,7/6/23,7/6/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-465_P1_P1_P5_P1.2.1.1,Mesa,7/5/23,7/2/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-Y-RMM-438_P1_P1_P4_P2.1.1.1,Mesa,7/4/23,7/1/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Mesa-JSG-LCL-566_P2_P4_P1_P2.4.1.1,Mesa,6/29/23,6/30/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Purple Check,Check,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dura-JSG-Y-RMM-429_P2_P1_P3_P4.2.1.1,Dura,7/2/23,6/28/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Zlux-G6_P4_P1_P5_P2.4.1.1,Zlux,7/2/23,6/29/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Mesa-JSG-RMM-LCL-473_P3_P1_P4_P1.2.1.1,Mesa,7/4/23,7/4/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
B73,B73,7/1/23,6/28/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
