Female_genotype,Species,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,Species,SPAD2_Date,Leaf_Auringle,ST,StPu,StPi,Kinki,Prolif,NBR,LI_COR,LI_COR_Date,SCiO,SCiO_Date
Mesa-JSG-LCL-689_P2_P1_P2_P2.1.1.1,Mesa,6/27/23,6/26/23,201,80,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-LCL-565_P2_P1_P5_P2.1.1.1,Mesa,6/26/23,6/26/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Mesa-JSG-Y-RMM-438_P1_P1_P3_P1.2.1.1,Mesa,6/25/23,6/27/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,NA,NA,NA,NA,NA
Zlux-G7_P2_P1_P2_P1.3.1.1,Zlux,6/30/23,6/29/23,206,85,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Zdip-JLVTKV-719_P2_P1_P1_P1.1.1.1,Zdip,7/1/23,7/1/23,196,70,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
B73,B73,6/30/23,6/29/23,200,73,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-LCL-689_P2_P1_P2_P1.1.1.1,Mesa,6/27/23,6/27/23,202,74,6,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Chal-JSG-JMHC-629_P4_P1_P4_P2.1.1.1,Chal,6/28/23,6/30/23,182,74,4,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,0,1,NA,NA,NA,NA,NA
Mesa-JSG-LCL-JGRF-586_P1_P2_P2_P2.2.1.1,Mesa,6/27/23,6/27/23,172,63,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Nabo-JSG-SRV-604_P2_P1_P5_P1.2.1.1,Nabo,7/5/23,7/6/23,210,93,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Mesa-JSG-Y-LOS-75_P1_P1_P4_P1.1.1.1,Mesa,6/28/23,6/28/23,186,78,4,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Chal-JSG-JMHC-634_P3_P1_P5_P1.2.1.1,Chal,6/26/23,6/26/23,158,58,3,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,1,1,NA,NA,NA,NA,NA
Bals-DMA-2008-1_P3_P1_P2_P2.2.1.1,Bals,6/29/23,6/26/23,176,63,2,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,0,1,NA,NA,NA,NA,NA
