accession_id	phenotype_value
PN12_SID1091	181.666666666667
PN12_SID1092	174
PN12_SID1093	149.5
PN12_SID1094	182.333333333333
PN12_SID1095	215.333333333333
PN12_SID1096	170
PN12_SID1137	184.333333333333
PN12_SID1138	155.666666666667
PN12_SID1139	184.666666666667
PN12_SID1140	155.666666666667
PN12_SID1141	231
PN12_SID1142	221.5
PN12_SID1143	204.5
PN12_SID1144	164
PN12_SID1145	205.333333333333
PN12_SID1146	195
PN12_SID1147	204
PN12_SID1148	189.333333333333
PN12_SID1109	182.666666666667
PN12_SID1110	157.666666666667
PN12_SID1111	189
PN12_SID1112	190
PN12_SID1113	200
PN12_SID1114	193.5
PN12_SID1115	181
PN12_SID1116	176.333333333333
PN12_SID1117	188.5
PN12_SID1118	154.666666666667
PN12_SID1119	191.666666666667
PN13_SID1190	205
PN13_SID1191	178
PN13_SID1192	204.666666666667
PN13_SID1193	176
PN13_SID1194	187.333333333333
PN13_SID1195	164.666666666667
PN13_SID1196	204.333333333333
PN13_SID1197	221
PN12_SID1097	184.666666666667
PN12_SID1098	206.666666666667
PN12_SID1099	191
PN12_SID1100	193.5
PN12_SID1101	174.666666666667
PN12_SID1102	167.333333333333
PN12_SID1103	182.333333333333
PN12_SID1104	192.666666666667
PN12_SID1105	215.666666666667
PN12_SID1106	163.333333333333
PN12_SID1107	165
PN12_SID1108	169.666666666667
PN11_SID1054	183.666666666667
PN11_SID1055	197.666666666667
PN11_SID1056	204.333333333333
PN12_SID1062	191.666666666667
PN12_SID1063	160
PN12_SID1064	180
PN11_SID993	233.333333333333
PN11_SID994	207.666666666667
PN11_SID995	182
PN11_SID996	189.5
PN11_SID997	223
PN11_SID998	189.333333333333
PN11_SID999	243.333333333333
PN11_SID1005	196
PN11_SID1006	174.666666666667
PN16_SID1481	177.333333333333
PN16_SID1482	211.333333333333
PN16_SID1484	201.5
PN16_SID1485	159
PN16_SID1487	229
PN11_SID1028	173.666666666667
PN11_SID1029	189.333333333333
PN11_SID1030	175
PN11_SID1031	177
PN11_SID1032	195
PN11_SID1033	187.666666666667
PN11_SID1034	191.666666666667
PN11_SID1035	206
PN11_SID1036	200.5
PN11_SID1037	204.5
PN11_SID1038	185
PN11_SID1039	178.5
PN11_SID1040	193
PN11_SID1041	164.333333333333
PN15_SID1363	185
PN11_SID1042	211.333333333333
PN11_SID1043	171.666666666667
PN11_SID1044	183
PN11_SID1045	198.333333333333
PN11_SID1046	179.5
PN11_SID1047	165.333333333333
PN11_SID1048	193
PN11_SID1049	217.666666666667
PN11_SID1050	229
PN11_SID1051	209
PN11_SID1052	187.666666666667
PN11_SID1053	195.5
PN11_SID1021	187.666666666667
PN11_SID1023	180.666666666667
PN11_SID1024	200.333333333333
PN11_SID1025	133.666666666667
PN11_SID1026	160.333333333333
PN11_SID1027	189
PN16_SID1488	199
PN16_SID1489	180
PN16_SID1490	207.666666666667
PN16_SID1491	206.666666666667
PN16_SID1492	206
PN16_SID1493	155
PN16_SID1494	179.666666666667
PN16_SID1495	208
PN16_SID1496	151
PN16_SID1497	177.666666666667
PN12_SID1120	177
PN12_SID1121	187.666666666667
PN12_SID1122	192
PN12_SID1123	187
PN12_SID1124	199
PN13_SID1176	233.333333333333
PN13_SID1177	185.333333333333
PN13_SID1178	193.333333333333
PN13_SID1179	170
PN13_SID1180	186.333333333333
PN13_SID1181	206
PN13_SID1182	191
PN13_SID1183	213.333333333333
PN13_SID1184	206
PN13_SID1185	184.666666666667
PN13_SID1186	199
PN13_SID1187	164.5
PN13_SID1188	166
PN13_SID1189	171.666666666667
PN12_SID1125	171.666666666667
PN12_SID1126	197.666666666667
PN12_SID1127	171
PN12_SID1128	179
PN12_SID1129	225.5
PN12_SID1130	181
PN12_SID1131	224.333333333333
PN12_SID1132	193
PN12_SID1133	206.666666666667
PN12_SID1134	190
PN12_SID1135	174.5
PN12_SID1136	167
PN12_SID1065	153
PN12_SID1067	195.333333333333
PN12_SID1069	189.666666666667
PN12_SID1070	224
PN12_SID1071	209.666666666667
PN12_SID1072	185.333333333333
PN12_SID1073	158
PN12_SID1074	166.5
PN12_SID1075	190
PN12_SID1076	204.666666666667
PN12_SID1077	191
PN12_SID1078	174.5
PN10_SID883	215.666666666667
PN10_SID884	206.333333333333
PN10_SID885	201
PN10_SID886	206.666666666667
PN10_SID887	186
PN10_SID888	167.5
PN10_SID889	222.5
PN10_SID890	205.333333333333
PN10_SID891	230.666666666667
PN10_SID892	174
PN10_SID894	187.333333333333
PN10_SID895	229.333333333333
PN10_SID896	201.333333333333
PN10_SID876	182
PN10_SID877	226
PN10_SID878	237.333333333333
PN10_SID879	190.666666666667
PN10_SID880	180
PN10_SID881	192.333333333333
PN10_SID882	181.333333333333
PN11_SID1007	231.333333333333
PN11_SID1008	189.333333333333
PN11_SID1009	183
PN11_SID1010	206
PN11_SID1011	208
PN11_SID1012	195.333333333333
PN11_SID1013	198
PN11_SID1014	190
PN11_SID1015	187.666666666667
PN11_SID1016	186.375
PN11_SID1018	186.375
PN11_SID1020	186.375
PN11_SID1017	202.833333333333
PN11_SID1019	202.833333333333
PN13_SID1163	202.666666666667
PN13_SID1164	197.5
PN13_SID1165	209.5
PN13_SID1166	233.333333333333
PN13_SID1167	180.666666666667
PN13_SID1168	175.333333333333
PN13_SID1169	193.666666666667
PN13_SID1170	187.333333333333
PN13_SID1171	201.333333333333
PN13_SID1172	184
PN13_SID1173	184
PN13_SID1174	174.333333333333
PN13_SID1175	202
PN12_SID1149	184.333333333333
PN12_SID1150	195
PN12_SID1151	175.333333333333
PN12_SID1152	188.666666666667
PN13_SID1161	189
PN12_SID1079	175.6
PN12_SID1082	175.6
PN12_SID1080	219.5
PN12_SID1083	198
PN12_SID1084	199.666666666667
PN12_SID1081	195
PN12_SID1085	195
PN12_SID1086	177.5
PN12_SID1087	198.333333333333
PN12_SID1089	213
PN12_SID1090	186
PN4_SID310	206.5
PN4_SID311	190.333333333333
PN4_SID313	186
PN4_SID314	198
PN4_SID315	184.5
PN4_SID316	201.5
PN4_SID317	182.666666666667
PN4_SID318	212.333333333333
PN3_SID238	172
PN3_SID239	192.333333333333
PN3_SID240	174.333333333333
PN3_SID241	183
PN3_SID242	204
PN3_SID243	211
PN3_SID245	191
PN3_SID246	207
PN3_SID247	152.333333333333
PN3_SID248	160
PN3_SID249	160.333333333333
PN3_SID250	175
PN3_SID251	194.333333333333
PN3_SID252	192.666666666667
PN3_SID253	188.333333333333
PN3_SID254	215.666666666667
PN3_SID220	177
PN3_SID221	176.666666666667
PN3_SID222	202.333333333333
PN3_SID223	198.666666666667
PN3_SID225	164
PN3_SID226	200
PN3_SID227	195.333333333333
PN3_SID228	189.666666666667
PN3_SID229	153.666666666667
PN3_SID230	197.333333333333
PN3_SID231	182
PN3_SID232	153
PN3_SID233	176.333333333333
PN3_SID234	189.666666666667
PN3_SID235	182.333333333333
PN3_SID237	189.666666666667
PN3_SID278	136.333333333333
PN3_SID280	218.333333333333
PN3_SID281	186.666666666667
PN3_SID282	183.5
PN3_SID283	193
PN3_SID285	180
PN3_SID286	181.666666666667
PN3_SID287	202
PN3_SID288	150
PN4_SID333	193.333333333333
PN4_SID334	170
PN4_SID336	205
PN4_SID337	184
PN4_SID339	195
PN4_SID340	157
PN3_SID256	204.5
PN3_SID257	205.333333333333
PN3_SID258	219.666666666667
PN3_SID259	192.333333333333
PN3_SID260	183.5
PN3_SID261	177
PN3_SID262	188.333333333333
PN3_SID263	160.666666666667
PN4_SID294	187.333333333333
PN4_SID319	182.333333333333
PN4_SID320	197.666666666667
PN4_SID321	180.5
PN4_SID322	190.666666666667
PN4_SID323	196.333333333333
PN4_SID324	230.333333333333
PN4_SID325	169.666666666667
PN4_SID328	155
PN4_SID329	197.666666666667
PN4_SID331	169.666666666667
PN4_SID332	190
PN3_SID264	179
PN3_SID265	168
PN3_SID266	188
PN3_SID267	188
PN3_SID268	167
PN3_SID269	187.666666666667
PN3_SID270	181.5
PN3_SID271	179.5
PN3_SID272	184.666666666667
PN3_SID273	196.5
PN3_SID274	136
PN3_SID275	158.333333333333
PN3_SID276	182.666666666667
PN3_SID277	177.5
PN5_SID405	182.666666666667
PN5_SID407	193
PN5_SID408	176
PN5_SID409	201.666666666667
PN5_SID410	156
PN5_SID411	165.5
PN5_SID412	159.666666666667
PN5_SID413	178
PN5_SID414	196.666666666667
PN5_SID415	188
PN5_SID416	195.333333333333
PN5_SID417	179
PN5_SID418	191
PN5_SID419	170
PN5_SID420	186.333333333333
PN5_SID421	202.333333333333
PN5_SID422	189.5
PN5_SID423	179.666666666667
PN5_SID424	168
PN5_SID425	179.666666666667
PN5_SID426	184.5
PN5_SID427	217.666666666667
PN5_SID428	169.666666666667
PN5_SID430	219.666666666667
PN5_SID432	181.666666666667
PN5_SID433	183.5
PN5_SID434	212.666666666667
PN5_SID435	186.5
PN5_SID436	196.333333333333
PN5_SID438	176.666666666667
PN5_SID439	165.666666666667
PN5_SID440	194.5
PN5_SID441	177.666666666667
PN5_SID443	192
PN5_SID444	177
PN5_SID446	182.666666666667
PN5_SID447	154.666666666667
PN5_SID448	167.333333333333
PN5_SID449	183.5
PN5_SID450	162
PN5_SID451	180.333333333333
PN5_SID452	196.333333333333
PN5_SID453	202
PN5_SID454	170
PN5_SID455	152
PN5_SID456	138.333333333333
PN5_SID457	179.666666666667
PN5_SID458	164.666666666667
PN5_SID459	186.666666666667
PN5_SID460	207.333333333333
PN5_SID461	179.5
PN5_SID462	186
PN5_SID463	194.666666666667
PN5_SID464	160
PN5_SID465	143.666666666667
PN5_SID466	180.333333333333
PN5_SID467	197.333333333333
PN5_SID469	188
PN5_SID470	180
PN5_SID471	133.666666666667
PN5_SID472	154.666666666667
PN5_SID473	177
PN5_SID474	153.333333333333
PN5_SID475	195.666666666667
PN5_SID476	200.666666666667
PN5_SID477	161.666666666667
PN5_SID479	172.333333333333
PN5_SID480	144.666666666667
PN6_SID496	195.333333333333
PN6_SID497	176
PN6_SID498	185.333333333333
PN6_SID499	175
PN6_SID500	167.333333333333
PN6_SID501	157
PN6_SID502	199.666666666667
PN6_SID503	205.666666666667
PN6_SID504	182.333333333333
PN6_SID505	175.5
PN4_SID352	198
PN4_SID353	206.666666666667
PN4_SID354	210.666666666667
PN4_SID355	183
PN4_SID356	193.666666666667
PN4_SID358	192.333333333333
PN4_SID359	192.666666666667
PN4_SID360	179.333333333333
PN4_SID361	139
PN4_SID362	183.333333333333
PN4_SID364	190.5
PN4_SID365	204
PN4_SID366	158.5
PN4_SID367	184
PN4_SID368	184.666666666667
PN4_SID369	182.666666666667
PN4_SID370	202.666666666667
PN4_SID374	210
PN4_SID375	194
PN4_SID378	160
PN4_SID379	205.666666666667
PN4_SID380	163.5
