accession_id	phenotype_value
PN12_SID1091	63.6666666666667
PN12_SID1092	63.6666666666667
PN12_SID1093	28
PN12_SID1094	51.6666666666667
PN12_SID1095	69
PN12_SID1096	45
PN12_SID1137	69.6666666666667
PN12_SID1138	61
PN12_SID1139	70
PN12_SID1140	63.6666666666667
PN12_SID1141	86
PN12_SID1142	80.5
PN12_SID1143	62
PN12_SID1144	54.6666666666667
PN12_SID1145	69.3333333333333
PN12_SID1146	60.5
PN12_SID1147	92
PN12_SID1148	66
PN12_SID1109	71.3333333333333
PN12_SID1110	60
PN12_SID1111	85.6666666666667
PN12_SID1112	61.5
PN12_SID1113	75.5
PN12_SID1114	79.5
PN12_SID1115	64.3333333333333
PN12_SID1116	64
PN12_SID1117	69
PN12_SID1118	54.6666666666667
PN12_SID1119	70.3333333333333
PN13_SID1190	73.6666666666667
PN13_SID1191	60
PN13_SID1192	92
PN13_SID1193	64.6666666666667
PN13_SID1194	54.3333333333333
PN13_SID1195	61
PN13_SID1196	77.6666666666667
PN13_SID1197	90
PN12_SID1097	70.3333333333333
PN12_SID1098	83.3333333333333
PN12_SID1099	51
PN12_SID1100	66
PN12_SID1101	58.3333333333333
PN12_SID1102	48.6666666666667
PN12_SID1103	77
PN12_SID1104	76.3333333333333
PN12_SID1105	78.3333333333333
PN12_SID1106	38.6666666666667
PN12_SID1107	62
PN12_SID1108	65.3333333333333
PN11_SID1054	79
PN11_SID1055	74
PN11_SID1056	75.6666666666667
PN12_SID1062	70
PN12_SID1063	54.3333333333333
PN12_SID1064	57.5
PN11_SID993	99
PN11_SID994	82.3333333333333
PN11_SID995	61.6666666666667
PN11_SID996	72.5
PN11_SID997	98
PN11_SID998	72
PN11_SID999	102
PN11_SID1005	77.5
PN11_SID1006	66.3333333333333
PN16_SID1481	63.3333333333333
PN16_SID1482	82
PN16_SID1484	78
PN16_SID1485	62
PN16_SID1487	70.5
PN11_SID1028	59.6666666666667
PN11_SID1029	62.6666666666667
PN11_SID1030	65.5
PN11_SID1031	56.5
PN11_SID1032	74.6666666666667
PN11_SID1033	68.6666666666667
